"Year","Year Code","State","State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Gender","Ethnicity","ICD Sub-Chapter","ICD Sub-Chapter Code","Race","Race Code","Deaths","Population","Crude Rate"
"2011","2011","Illinois","17","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",14,161643,"Unreliable"
"2011","2011","Indiana","18","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,326140,"Unreliable"
"2011","2011","Indiana","18","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,404970,"Unreliable"
"2011","2011","Kentucky","21","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,247549,"Unreliable"
"2011","2011","Kentucky","21","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,289256,6.9
"2011","2011","Kentucky","21","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,264077,"Unreliable"
"2011","2011","Louisiana","22","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",14,128617,"Unreliable"
"2011","2011","Louisiana","22","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",17,112541,"Unreliable"
"2011","2011","Louisiana","22","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,170364,"Unreliable"
"2011","2011","Louisiana","22","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,207910,"Unreliable"
"2011","2011","Michigan","26","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,127320,"Unreliable"
"2011","2011","Michigan","26","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,607178,"Unreliable"
"2011","2011","Mississippi","28","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,103328,"Unreliable"
"2011","2011","Mississippi","28","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,126304,"Unreliable"
"2011","2011","Mississippi","28","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,121638,"Unreliable"
"2011","2011","Missouri","29","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,296264,"Unreliable"
"2011","2011","Missouri","29","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",25,372377,6.7
"2011","2011","Missouri","29","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,337831,"Unreliable"
"2011","2011","North Carolina","37","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,384351,"Unreliable"
"2011","2011","North Carolina","37","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,426177,4.7
"2011","2011","North Carolina","37","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",30,487109,6.2
"2011","2011","North Carolina","37","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,462592,"Unreliable"
"2011","2011","North Carolina","37","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,307966,"Unreliable"
"2011","2011","Ohio","39","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,603304,"Unreliable"
"2011","2011","Ohio","39","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",19,124606,"Unreliable"
"2011","2011","Ohio","39","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,562900,"Unreliable"
"2011","2011","Ohio","39","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,591322,"Unreliable"
"2011","2011","Ohio","39","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",27,733321,3.7
"2011","2011","Ohio","39","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,674305,"Unreliable"
"2011","2011","Ohio","39","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,411048,"Unreliable"
"2011","2011","Oklahoma","40","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,171283,"Unreliable"
"2011","2011","Oklahoma","40","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,161437,"Unreliable"
"2011","2011","Oklahoma","40","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,199602,"Unreliable"
"2011","2011","Oregon","41","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,228287,"Unreliable"
"2011","2011","Pennsylvania","42","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,645801,"Unreliable"
"2011","2011","Pennsylvania","42","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,617841,"Unreliable"
"2011","2011","Pennsylvania","42","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",22,806863,2.7
"2011","2011","Pennsylvania","42","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,749081,"Unreliable"
"2011","2011","South Carolina","45","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,181625,"Unreliable"
"2011","2011","South Carolina","45","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,191214,"Unreliable"
"2011","2011","South Carolina","45","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,225104,"Unreliable"
"2011","2011","South Carolina","45","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,226697,8.8
"2011","2011","Tennessee","47","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,302406,"Unreliable"
"2011","2011","Tennessee","47","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,320313,"Unreliable"
"2011","2011","Tennessee","47","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,75929,"Unreliable"
"2011","2011","Tennessee","47","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",30,372764,8
"2011","2011","Tennessee","47","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",26,351095,7.4
"2011","2011","Texas","48","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",22,701547,3.1
"2011","2011","Texas","48","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,243344,"Unreliable"
"2011","2011","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",32,745555,4.3
"2011","2011","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,232605,"Unreliable"
"2011","2011","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,745555,"Unreliable"
"2011","2011","Texas","48","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",41,741296,5.5
"2011","2011","Texas","48","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",56,905670,6.2
"2011","2011","Texas","48","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",13,905670,"Unreliable"
"2011","2011","Texas","48","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",45,838181,5.4
"2011","2011","Texas","48","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",21,524664,4
"2011","2011","Texas","48","75-84 years","75-84","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,328173,"Unreliable"
"2011","2011","Utah","49","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,176205,"Unreliable"
"2011","2011","Utah","49","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,129304,"Unreliable"
"2011","2011","Virginia","51","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,334879,"Unreliable"
"2011","2011","Virginia","51","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,344162,"Unreliable"
"2011","2011","Virginia","51","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,418007,"Unreliable"
"2011","2011","Virginia","51","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,377409,"Unreliable"
"2011","2011","Washington","53","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,389587,"Unreliable"
"2011","2011","Washington","53","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,377377,"Unreliable"
"2011","2011","Wisconsin","55","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,384397,"Unreliable"
"2012","2012","Alabama","01","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",22,203220,10.8
"2012","2012","Alabama","01","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",22,238948,9.2
"2012","2012","Alabama","01","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,231681,"Unreliable"
"2012","2012","Arizona","04","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,219654,"Unreliable"
"2012","2012","Arizona","04","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,270333,"Unreliable"
"2012","2012","Arizona","04","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",25,295900,8.4
"2012","2012","Arizona","04","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,236421,"Unreliable"
"2012","2012","Arkansas","05","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,156363,"Unreliable"
"2012","2012","California","06","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",16,193457,"Unreliable"
"2012","2012","California","06","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,914307,"Unreliable"
"2012","2012","California","06","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,914307,"Unreliable"
"2012","2012","California","06","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",41,1191891,3.4
"2012","2012","California","06","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",11,178283,"Unreliable"
"2012","2012","California","06","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,1191891,"Unreliable"
"2012","2012","California","06","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",31,1186356,2.6
"2012","2012","California","06","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,792606,"Unreliable"
"2012","2012","California","06","75-84 years","75-84","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,482840,"Unreliable"
"2012","2012","California","06","85+ years","85+","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,292378,"Unreliable"
"2012","2012","Colorado","08","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,250513,"Unreliable"
"2012","2012","Colorado","08","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,279505,"Unreliable"
"2012","2012","Colorado","08","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,267855,"Unreliable"
"2012","2012","Connecticut","09","5-14 years","5-14","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,137326,"Unreliable"
"2012","2012","Florida","12","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,590594,"Unreliable"
"2012","2012","Florida","12","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",15,262866,"Unreliable"
"2012","2012","Florida","12","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",25,581601,4.3
"2012","2012","Florida","12","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",14,231582,"Unreliable"
"2012","2012","Florida","12","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,581601,"Unreliable"
"2012","2012","Florida","12","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",38,606871,6.3
"2012","2012","Florida","12","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",12,207567,"Unreliable"
"2012","2012","Florida","12","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,606871,"Unreliable"
"2012","2012","Florida","12","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",60,822207,7.3
"2012","2012","Florida","12","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,213466,"Unreliable"
"2012","2012","Florida","12","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",19,822207,"Unreliable"
"2012","2012","Florida","12","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",51,878870,5.8
"2012","2012","Florida","12","55-64 years","55-64","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",18,878870,"Unreliable"
"2012","2012","Florida","12","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",30,747612,4
"2012","2012","Georgia","13","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,257681,"Unreliable"
"2012","2012","Georgia","13","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,341312,"Unreliable"
"2012","2012","Georgia","13","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",15,235853,"Unreliable"
"2012","2012","Georgia","13","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,367879,"Unreliable"
"2012","2012","Georgia","13","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",44,419689,10.5
"2012","2012","Georgia","13","45-54 years","45-54","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",10,419689,"Unreliable"
"2012","2012","Georgia","13","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,386517,"Unreliable"
"2012","2012","Georgia","13","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,264450,"Unreliable"
"2012","2012","Illinois","17","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",12,161301,"Unreliable"
"2012","2012","Illinois","17","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",11,132888,"Unreliable"
"2012","2012","Illinois","17","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,506905,"Unreliable"
"2012","2012","Illinois","17","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,587239,"Unreliable"
"2012","2012","Indiana","18","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,326066,"Unreliable"
"2012","2012","Indiana","18","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,331209,"Unreliable"
"2012","2012","Indiana","18","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,396981,5
"2012","2012","Kansas","20","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,164472,"Unreliable"
"2012","2012","Kentucky","21","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,242834,"Unreliable"
"2012","2012","Kentucky","21","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,244722,"Unreliable"
"2012","2012","Kentucky","21","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,283667,"Unreliable"
"2012","2012","Kentucky","21","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,264360,"Unreliable"
"2012","2012","Louisiana","22","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,184752,"Unreliable"
"2012","2012","Louisiana","22","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",14,114066,"Unreliable"
"2012","2012","Louisiana","22","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,169297,"Unreliable"
"2012","2012","Louisiana","22","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,203425,"Unreliable"
"2012","2012","Louisiana","22","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,192099,"Unreliable"
"2012","2012","Michigan","26","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",23,127691,18
"2012","2012","Michigan","26","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,93909,"Unreliable"
"2012","2012","Michigan","26","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,592861,"Unreliable"
"2012","2012","Michigan","26","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,559966,"Unreliable"
"2012","2012","Mississippi","28","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,105898,"Unreliable"
"2012","2012","Mississippi","28","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,123597,"Unreliable"
"2012","2012","Missouri","29","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",13,62787,"Unreliable"
"2012","2012","Missouri","29","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,312002,"Unreliable"
"2012","2012","Missouri","29","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,363456,"Unreliable"
"2012","2012","Missouri","29","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,340332,"Unreliable"
"2012","2012","North Carolina","37","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",16,385288,"Unreliable"
"2012","2012","North Carolina","37","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",12,150167,"Unreliable"
"2012","2012","North Carolina","37","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,420566,"Unreliable"
"2012","2012","North Carolina","37","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",14,420566,"Unreliable"
"2012","2012","North Carolina","37","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",32,482743,6.6
"2012","2012","North Carolina","37","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,462117,4.3
"2012","2012","North Carolina","37","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,330982,"Unreliable"
"2012","2012","Ohio","39","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",17,125290,"Unreliable"
"2012","2012","Ohio","39","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,563792,"Unreliable"
"2012","2012","Ohio","39","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,580220,"Unreliable"
"2012","2012","Ohio","39","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",11,580220,"Unreliable"
"2012","2012","Ohio","39","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",29,715624,4.1
"2012","2012","Ohio","39","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,677827,"Unreliable"
"2012","2012","Oklahoma","40","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,172546,"Unreliable"
"2012","2012","Oklahoma","40","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,194079,"Unreliable"
"2012","2012","Oklahoma","40","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,191724,"Unreliable"
"2012","2012","Oregon","41","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,221943,"Unreliable"
"2012","2012","Pennsylvania","42","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,601306,"Unreliable"
"2012","2012","Pennsylvania","42","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",24,787077,3
"2012","2012","Pennsylvania","42","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,752544,"Unreliable"
"2012","2012","South Carolina","45","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,93465,"Unreliable"
"2012","2012","South Carolina","45","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,190318,"Unreliable"
"2012","2012","South Carolina","45","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,222998,"Unreliable"
"2012","2012","South Carolina","45","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,226516,"Unreliable"
"2012","2012","Tennessee","47","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,304534,"Unreliable"
"2012","2012","Tennessee","47","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",12,317621,"Unreliable"
"2012","2012","Tennessee","47","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",24,367018,6.5
"2012","2012","Tennessee","47","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,351101,"Unreliable"
"2012","2012","Tennessee","47","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,246336,"Unreliable"
"2012","2012","Texas","48","15-24 years","15-24","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",11,701214,"Unreliable"
"2012","2012","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",36,757200,4.8
"2012","2012","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",16,238972,"Unreliable"
"2012","2012","Texas","48","25-34 years","25-34","Female","Non-Hispanic or Latino","Assault","X85-Y09","White","2106-3",12,757200,"Unreliable"
"2012","2012","Texas","48","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",38,740334,5.1
"2012","2012","Texas","48","35-44 years","35-44","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,224595,"Unreliable"
"2012","2012","Texas","48","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",45,885859,5.1
"2012","2012","Texas","48","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",41,845336,4.9
"2012","2012","Texas","48","65-74 years","65-74","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",17,559721,"Unreliable"
"2012","2012","Texas","48","75-84 years","75-84","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",14,329541,"Unreliable"
"2012","2012","Virginia","51","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,339309,"Unreliable"
"2012","2012","Virginia","51","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",18,411939,"Unreliable"
"2012","2012","Virginia","51","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,376784,"Unreliable"
"2012","2012","Washington","53","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",20,380422,5.3
"2013","2013","Alabama","01","15-24 years","15-24","Female","Non-Hispanic or Latino","Assault","X85-Y09","Black or African American","2054-5",10,109953,"Unreliable"
"2013","2013","Alabama","01","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",19,202215,"Unreliable"
"2013","2013","Alabama","01","45-54 years","45-54","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",15,234829,"Unreliable"
"2013","2013","Alabama","01","55-64 years","55-64","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",25,232823,10.7
"2013","2013","Arizona","04","25-34 years","25-34","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",10,218470,"Unreliable"
"2013","2013","Arizona","04","35-44 years","35-44","Female","Non-Hispanic or Latino","Intentional self-harm","X60-X84","White","2106-3",13,217316,"Unreliable"
